Comment,Description,Designator,Quantity,LCSC Part #
"Ideal Operational Amplifier","Ideal Operational Amplifier","U30","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U31","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U32","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U33","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U34","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U35","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U36","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U37","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U38","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U39","1",""
